Approach,Document_ID,Participants,Interventions,Outcomes,Gold_Participants,Gold_Interventions,Gold_Outcomes
e2e_biobert_predictions,15854186,98,Cophenylcaine spray | placebo | cophenylcaine | placebo nasal spray,visual analogue scale | pain | unpleasantness of taste | overall discomfort | discomfort | pain or | sensation of bad taste | pain experienced,flexible nasendoscopy : | 98 patients | flexible nasendoscopy . | flexible nasendoscopy .,Cophenylcaine | placebo | cophenylcaine | placebo | cophenylcaine | cophenylcaine,"pain , unpleasantness of taste and overall discomfort experienced . | pain and discomfort | pain or overall discomfort | sensation of bad taste | unpleasantness | pain | unpleasantness of taste ."
e2e_biobert_predictions,15858959,children | acute diarrhoea | Two hundred children,Saccharomyces boulardii | S. boulardii | placebo | S.,medians of the average stool frequency | duration of diarrhoea | watery diarrhoea | duration of hospital stay | persisting diarrhoea | duration of acute diarrhoea,children | acute diarrhoea | children with acute diarrhoea . | Two hundred children | acute diarrhoea in children,Saccharomyces boulardii | Saccharomyces boulardii . | S. boulardii | S. boulardii | S. boulardii | placebo | placebo | S. boulardii | placebo | S. boulardii | placebo | S. boulardii | S. boulardii | placebo | placebo | S. boulardii | S. boulardii | S. boulardii,average stool frequency | duration of diarrhoea | duration of hospital stay | duration of acute diarrhoea | duration of hospital stay
e2e_biobert_predictions,16167234,digestive surgery | Forty,branch chain amino acid enriched formula | branch chain amino acid ( BCAA ) enriched formula | parenteral nutrition with either | BCAA enriched | routine amino acid | BCAA enriched formula,"postoperative fatigue | nutritional status | Nitrogen balance | serum total protein , albumin , prealbumin , transferrin | postoperative fatigue score | cumulative postoperative fatigue scores | positive nitrogen balance | cumulative nitrogen balance | serum level of retinol binding protein",after digestive surgery ] | digestive surgery patients . | Forty patients who underwent digestive surgery | digestive surgery patients .,amino acid enriched formula | branch chain amino acid ( BCAA ) enriched formula | BCAA enriched | routine amino acid | BCAA | BCAA-enriched | BCAA enriched formula,"postoperative fatigue | nutritional status | nutritional status | postoperative fatigue | Nitrogen balance , serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score | cumulative postoperative fatigue scores | nitrogen balance | cumulative nitrogen balance | serum total protein , albumin , prealbumin , transferrin | serum level of retinol binding protein | postoperative fatigue score | nutritional status"
e2e_biobert_predictions,16295154,parents | children | autistic spectrum disorder | autistic spectrum disorder ( ASD ) | 31 | ASD,"post-diagnosis nursing intervention | usual care plus 3 hours contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan | usual care post-diagnosis , which consisted of","parents | impact of event ( diagnosis ) | use of services | "" | impact of event "" and "" perceived stress """,parents of children | autistic spectrum disorder | Parents of children | diagnosis of autistic spectrum disorder ( ASD ) | parents of children with ASD,"Intervention | nursing intervention | post-diagnosis nursing intervention | usual care | contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan | usual care | consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan","parents ' reports of stress | impact of event ( diagnosis ) | use of services | "" impact of event "" | "" perceived stress """
e2e_biobert_predictions,16427787,Not Found,melatonin | placebo,Sleep-anticipating | task-related activity | visual-search | fatigue | activation in the left parahippocampus | brain activity,human,melatonin | melatonin | Melatonin | placebo | melatonin | melatonin | melatonin | melatonin,effects | task-related activity | subjective measurements of fatigue . | activation in the left parahippocampus | brain activity | fatigue
e2e_biobert_predictions,16505427,anemic patients | cancer | cancer-associated anemia | Three hundred sixty-five | One hundred eighty-three | 182,"erythropoietin | epoetin alfa | epoetin alfa 40,000 | standard weekly epoetin alfa | epoetin",mean end-of-study Hb levels | Toxicities | overall survival | global quality of life ( QOL ) | global QOL | Hb increment,anemic patients with cancer . | patients with cancer-associated anemia . | Three hundred sixty-five patients,erythropoietin | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa .,requiring transfusions | hemoglobin ( Hb ) increment | drug dose | Hb | Hb | Toxicities | thromboembolism | overall survival | global quality of life ( QOL ) | global QOL | QOL | transfusion needs | QOL . | Hb increment
e2e_biobert_predictions,1669598,asthma | house dust mite Dermatophagoides pteronyssinus | 10,Local immunotherapy | powder extract | parenteral immunotherapy | local immunotherapy ( LI ) | powder extract of house dust mite ( HDM ) | parenteral immunotherapy ( PI ) | LI | subcutaneous injections | placebo | PI | inhalation of lactose | disodium cromoglycate ( DSCG ),efficacy | symptoms score | peak expiratory flow ( PEF ) -derived parameters | bronchial response | bronchial responsiveness to methacholine | immunologic humoral and cellular parameters | local important adverse reactions | systemic side effects,10 patients with asthma due to HDM,immunotherapy | immunotherapy | local immunotherapy | powder extract of house dust mite ( HDM ) | parenteral immunotherapy ( PI ) | placebo | lactose | disodium cromoglycate ( DSCG ),efficacy | tolerability | symptoms score | peak expiratory flow ( PEF ) -derived parameters | bronchial response | bronchial responsiveness | immunologic humoral and cellular parameters in peripheral blood | local important adverse reactions | systemic side effects | systemic side effects .
e2e_biobert_predictions,17293018,C. difficile-associated diarrhea ( CDAD ) | 77,whey protein concentrate | anti-C. difficile whey protein concentrate ( anti-CD WPC ) | anti-CD WPC,safety | adverse event monitoring | safe,patients with C. difficile-associated diarrhea ( CDAD ) | 77 patients with CDAD | patients with CDAD . | individuals with CDAD,whey protein concentrate | whey protein concentrate | immunized against Clostridium difficile ( C. | anti-C. difficile whey protein concentrate ( anti-CD WPC ) | anti-CD WPC | regular whey protein concentrate . | anti-CD WPC | anti-CD WPC | anti-CD WPC,safe | safe
e2e_biobert_predictions,17321989,acute myeloid leukemia and myelodysplastic syndromes | 110 | acute myeloid leukemia ( AML ) | myelodysplastic syndromes ( MDS ),itraconazole capsules | fluconazole capsules | fluconazole | itraconazole,Adverse events | numbers of cases with probable or possible infections | frequency of infection | tolerated,patients with acute myeloid leukemia and myelodysplastic syndromes : | Japanese | patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy . | patients with AML or MDS who received chemotherapy,itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole,Adverse events | probable or possible infections | frequency of infection
e2e_biobert_predictions,17616069,postpartum anemia | 50 women | postpartal anemia,trivalent ferrum preparation | sacharose ferric oxide ( Venofer ) | Venofer,serum values of soluble transferrin receptors and ferritin | adverse events,postpartum | Prague | Prague | 50 women | clinical and lab signs of postpartal anemia,trivalent ferrum preparation ] | trivalent ferrum preparation . | sacharose ferric oxide ( Venofer ) | Venofer | trivalent saccharose ferric oxide,effectivity | safeness | values of red blood count | serum values of soluble transferrin receptors and ferritin | iron cell saturation | body iron reserves | adverse events | effective | serious adverse event
few_shot_flan_t5,10070173,Rhinocort Study Group,budesonide Turbuhaler,Effect of budesonide Turbuhaler on seasonal allergic rhinitis,seasonal allergic rhinitis . | Two hundred and eighty-four out-patients | SAR | symptomatic during the ragweed season | 243 | SAR .,budesonide Turbuhaler | budesonide aqua | budesonide Turbuhaler | budesonide aqua | budesonide . | Turbuhaler | Turbuhaler | aqua spray | budesonide aqua | budesonide Turbuhaler | budesonide powder | Turbuhaler | aqua,patients ' preferences | quality of life . | Mean daily nasal symptom scores | eye symptoms . | nasal and non-nasal adverse events | epistaxis | headache . | nasal irritation | quality of life | safe | efficacious
few_shot_flan_t5,10390665,children,granisetron compared with perphenazine,Prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children,children . | tonsillectomy with or without adenoidectomy | children | 90 paediatric patients | ASA I | aged 4-10 years | children undergoing general anaesthesia for tonsillectomy,granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine | granisetron | perphenazine,"Anti-emetic efficacy | prevention | efficacy | complete response , defined as no emesis with no need for another rescue antiemetic | corresponding incidence | adverse events | long-term prevention | post-operative vomiting"
few_shot_flan_t5,10475150,healthy volunteers and patients with primary hypothyroidism,octreotide,melatonin secretion,healthy volunteers and in patients with primary hypothyroidism . | 8 healthy volunteers | 6 women | untreated primary hypothyroidism | healthy volunteers | patients with hypothyroidism | normal subjects and in patients with primary hypothyroidism,somatostatin ( octreotide ) | Somatostatin | somatostatin | saline | octreotide ( Sandostatin ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | somatostatin . | somatostatin | octreotide | somatostatin,melatonin secretion | melatonin secretion . | melatonin secretion | nocturnal melatonin secretion | melatonin secretion | urinary excretion of melatonin | GH secretion | nocturnal melatonin secretion | Urinary excretion of melatonin | total nocturnal secretion of TSH | nocturnal secretion and urinary excretion of melatonin
few_shot_flan_t5,10578479,premenopausal women,Soy intake,Effects of soy intake on sex hormone metabolism,premenopausal women . | 36 premenopausal women | 20 | used OC | premenopausal OC | non-OC users .,soy | soy | soy | soy | soy beverage | soy | soy,"sex hormone metabolism | sex hormone metabolism | serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations | menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone | urinary estrogen metabolites | menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio"
few_shot_flan_t5,10589810,patients,root instrumentation,Clinical effects of root instrumentation,40 subjects | 20 | 20,plastic curettes | conventional steel curettes | conventional steel curettes | plastic curettes | non-root substance removing curettes,Clinical effects | clinical effects | bleeding on probing ( BOP ) and probing pocket depth ( PPD ) | BOP percentage | BOP and PPD | BOP percentage | BOP | BOP
few_shot_flan_t5,10763172,Randomized ver,Xylometazoline and dexpanthenol,efficacy and tolerability,after nose surgery | 61 inpatients with the diagnosis Rhinitis following nasal operation | patients following nasal operations | rhinitis following nasal operation,xylometazoline | dexpanthenol ] | Xylometazoline | Dexpanthenol ( Nasic ) | Xylometazoline | verum | placebo | Xylometazoline-Dexpanthenol | Xylometazoline | Xylometazoline-Dexpanthenol | Xylometazoline,wound healing | efficacy | tolerability | nasal-breathing-resistance according to scores | efficacy | tolerability | compliance | improvement | efficacy | tolerability
few_shot_flan_t5,10764172,Forty patients,Intrathecal morphine,NK cell activation,underwent hysterectomy | Forty patients were divided into four groups of ten .,morphine | morphine | morphine | morphine | morphine | morphine,NK cell activity | natural killer ( NK ) cell activity | postoperative pain score and side effects | NK cell activity | NK cell activities | plasma adrenaline | noradrenaline concentrations | plasma cortisol levels | pain score
few_shot_flan_t5,10912743,hypertensive patients,low-dose aspirin,low-dose aspirin on clinic and ambulatory blood pressure,treated hypertensive patients . | hypertensive patients receiving drug treatment | people with one or more cardiovascular risk factors . | hypertension | 142 hypertensive | 76 men | 66 women | mean age 59 +/- 5.9 years | treated with different antihypertensive drugs,aspirin | aspirin | aspirin | aspirin | vitamin E | aspirin | aspirin | aspirin | aspirin | aspirin,clinic and ambulatory blood pressure | blood pressure ( BP ) control | clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP | clinic BP | 24-h ambulatory BP monitoring | clinic SBP and DBP | Ambulatory SBP and DBP | BP
few_shot_flan_t5,10934569,children with pervasive developmental disorder,intensive treatment or parent training,intensive intervention for children with pervasive developmental disorder,children | pervasive developmental disorder | Young children | pervasive developmental disorder | 7 | autism | 8 | pervasive developmental disorder not otherwise specified -- NOS | 7 with autism | 6 with pervasive developmental disorder NOS | Children | pervasive developmental disorder,intensive early intervention | intensive treatment | parent training . | intensive treatment | parent training | parent training . | intensive treatment | parent training,intelligence | visual-spatial skills | language | academics | adaptive functioning | behavior problems .
few_shot_flan_t5,10940525,dogs and cats,Selamectin,efficacy and safety of selamectin against fleas and heartworms in dogs and cats,"dogs and cats presented as veterinary patients in North America . | dogs and cats | dogs and cats showing signs of flea allergy dermatitis ( FAD ) . | Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD | 220 dogs , 189 cats | dogs and cats diagnosed clinically with FAD . | 397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA | 673 dogs and 347 cats | 19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) . | dogs and cats | dogs and cats .",selamectin | selamectin | selamectin | selamectin | selamectin | fenthion | pyrethrins | Selamectin | selamectin-treated | Selamectin | selamectin | ivermectin | Selamectin | Selamectin | selamectin | Selamectin,Efficacy | safety | efficacy | safety | flea comb counts | clinical evaluations of FAD | mean flea counts | mean flea counts | mean flea counts | mean flea counts | heartworm prevention rate | adverse events . | effective | signs associated with FAD . | heartworms | safe
few_shot_flan_t5,11099086,children,oral ciprofloxacin versus intramuscular ceftriaxone,Oral ciprofloxacin versus intramuscular ceftriaxone as empiric treatment of acute invasive diarrhea in children,acute invasive diarrhea | children | children . | acute invasive diarrhea | infants and children | 201 | children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting with acute invasive diarrhea at the Pediatric Emergency Room | ambulatory pediatric patients requiring an emergency room visit .,ciprofloxacin | ceftriaxone | ceftriaxone | ciprofloxacin | ciprofloxacin | ceftriaxone | ciprofloxacin | ceftriaxone | ciprofloxacin | ciprofloxacin | ceftriaxone | ciprofloxacin | ceftriaxone,"efficacy | safety | Stool cultures for Shigella , Salmonella , Campylobacter spp . and diarrheagenic Escherichia coli | Clinical response and safety | Clinical cure or improvement | adverse events | Joint examination | safe | effective"
few_shot_flan_t5,11229858,children with malaria,antipyretic drugs,Antipyretic drugs in children with malaria,children | malaria | children | malaria | malaria .,antipyretic drugs | antipyretics | naproxen | metamizol | Antipyretic,reduction of fever peaks . | fever clearance
few_shot_flan_t5,1131298,10 healthy subjects,Garlic and onion,Effect of garlic and onion on alimentary hyperlipemia,10 healthy subjects,essential oils of garlic and onion | garlic and onion | garlic or onion | essential oils | Garlic and onion | garlic | onion . | garlic and onion,serum cholesterol and plasma fibrinogen | coagulation time | fibrinolytic activity . | effects
few_shot_flan_t5,11317090,persons with osteoarthritis,aquatic exercise for persons with osteoarthritis,Cost per quality-adjusted life year,persons with osteoarthritis . | 249 adults from Washington State aged 55 to 75 | doctor-confirmed diagnosis of osteoarthritis,aquatic exercise | aquatic exercise classes | aquatic classes . | aquatic classes . | Aquatic exercisers | Aquatic exercise | aquatic exercise .,"Economic evaluation | cost | outcomes | Cost per quality-adjusted life year ( QALY ) | cost/QALY | Quality of Well-Being Scale ( QWB ) | Current Health Desirability Rating ( CHDR ) | arthritis-specific Health Assessment Questionnaire ( HAQ ) , Center for Epidemiologic Studies-Depression Scale ( CES-D ) | Perceived Quality of Life Scale ( PQOL ) | QALYs . Use of health care facilities | Medicare reimbursement rates | costs/QALY ratios | ( QWB ) | ( CHDR , HAQ , PQOL ) | Costs/QALY | QWB | CHRD . | QALY"
few_shot_flan_t5,11381289,at high risk for cardiovascular events,ramipril,not specified,patients at high risk for cardiovascular events .,ramipril | angiotensin-converting enzyme ( ACE ) inhibitor | ramipril | vitamin E | ACE inhibitor,"rates of death , myocardial infarction , stroke , coronary revascularization , cardiac arrest and heart failure | risk of diabetes-related complications and of diabetes itself ."
few_shot_flan_t5,11401641,patients with open angle glaucoma,Latanoprost,IOP-reducing effect of latanoprost,"patients insufficiently controlled on timolol . | patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . | 53 patients with primary open angle glaucoma , capsular glaucoma , or ocular hypertension with an IOP of at least 21 mmHg on current therapy",timolol | latanoprost | latanoprost | timolol | timolol | timolol | timolol | latanoprost | latanoprost | timolol .,IOP-reducing | intraocular pressure ( IOP ) | IOP | IOP | IOP | IOP | IOP | IOP
few_shot_flan_t5,11454878,patients with epithelial ovarian carcinoma,Pegylated liposomal doxorubicin versus topotecan,Pegylated liposomal doxorubicin versus topotecan in patients with epithelial ovarian carcinoma,"patients with epithelial ovarian carcinoma that recurred after or did n't respond to first-line , platinum-based chemotherapy . | Patients with measurable and assessable disease | 474",pegylated liposomal doxorubicin | topotecan . | pegylated liposomal doxorubicin ( PLD ) | topotecan | PLD | topotecan | PLD | topotecan | PLD | topotecan | PLD | topotecan | PLD | PLD | topotecan . | PLD | topotecan | topotecan | topotecan | PLD,efficacy | safety | overall progression-free survival rates | overall response rates | Median overall survival times | overall survival | Severe hematologic toxicity | efficacy | safety
few_shot_flan_t5,11495215,nonsmokers,oral contraceptive use,cardiovascular reactivity,"Sixty healthy women , half of whom had been using OCs for at least the previous 6 months | two thirds were smokers | One third were nonsmokers .",Oral contraceptive | oral contraceptives ( OCs ) | nicotine | nicotine | OC | nicotine | OC | nicotine | nicotine | OC,"cardiovascular reactivity | cardiovascular and lipid reactivity . | Heart rate , blood pressure , and lipid measures | heart rate and diastolic blood pressure reactivity | cardiovascular or lipid stress reactivity | cardiovascular reactivity"
few_shot_flan_t5,11642083,males with Q-MI,neoton therapy,neoton therapy effects in acute myocardial infarction,myocardial infarction | patients on thrombolytic therapy ( TLT ) . | 106 males | Q-MI,Neoton | thrombolytic therapy | neoton | thrombolytic therapy ( TLT ) | TLT | neoton | TLT | streptokinase | streptokinase preparations | neoton . | neoton | neoton | Neoton,"systolic function of the left ventricle , arrhythmia and clinical symptoms | Left ventricular systolic function | arrhythmia | systolic and diastolic volumes | left ventricular systolic dysfunction"
few_shot_flan_t5,11737955,older adults,Antioxidant supplementation,Antioxidant supplementation and exercise-induced oxidative stress,the 60-year-old | older adults ( 60 ( SE 1 ) years ; BMI 26 ( SE 1 ) kg/m ( 2 ) ) | 60-year-old subjects,Antioxidant supplementation | antipyrine | antioxidant supplementation | dl-alpha-tocopheryl acetate | ascorbic acid | beta-carotene | placebo | Antipyrine | antioxidant supplementation,para- and ortho-hydroxyantipyrine to antipyrine . | thiobarbituric acid reactive substances in plasma . | free radical products of antipyrine .
few_shot_flan_t5,11750293,Twenty-two patients,Treatment or intervention,"Disability, illness perceptions , pain and coping",recent onset rheumatoid arthritis : | patients with recently diagnosed rheumatoid arthritis ( RA ) | Twenty-two patients with a history of recently diagnosed RA of less than 2 years | 22 patients,standard outpatient clinic treatment,"disability | illness perceptions | pain | coping | depression . | clinical outcome and process measures | predict depression | depression , disability , pain , beliefs about the consequences of arthritis and coping strategies ."
few_shot_flan_t5,11829043,patients who had undergone stoma surgery,progressive muscle relaxation training,anxiety level and self-reported QoL,patients after stoma surgery . Eighteen patients who had undergone stoma surgery | patients after stoma surgery .,progressive muscle relaxation training | progressive muscle relaxation training ( PMRT ) | PMRT,"anxiety level and self-reported quality of life ( QoL ) | Chinese State-Trait Anxiety Inventory ( C-STAI ) , the Quality of Life Index for Colostomy ( QoL-Colostomy ) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale ( WHOQoL ) . | C-STAI score | WHOQoL score | WHOQoL | QoL | QoL-Colostomy | quality of life | anxiety"
few_shot_flan_t5,11891832,44 patients,methotrexate,weakness progression,inclusion body myositis | 44 patients with inclusion body myositis,methotrexate | placebo . | methotrexate | methotrexate | placebo | methotrexate | methotrexate,"weakness progression | disease progression | Mean change of quantitative muscle strength testing sum scores | Quantitative muscle strength testing sum scores | manual muscle testing sum scores , activity scale scores and patients ' own assessments | Serum creatine kinase activity | progression of muscle weakness | serum creatine kinase activity ."
few_shot_flan_t5,12139812,208 patients with initial pterygium,limbal epithelial autograft transplantation and pterygium excision,[ Limbal epithelial autograft transplantation in treatment of pterygium],pterygium | pterygium . | 208 patients | initial pterygium,[ Limbal epithelial autograft transplantation | limbal epithelial autograft transplantation | pterygium excision | excision of pterygium | limbal epithelial autograft transplantation surgery | simple pterygium excision | limbal epithelial autograft transplantation,epithelial healing | abnormal proliferation of pterygium-like tissue .
few_shot_flan_t5,12477021,the Reichert AT550,A new non-contact tonometer,the Reichert AT550,Thirty-five university students were assessed,Reichert AT550 : | Reichert AT550 . | Reichert Xpert Plus | Goldmann applanation tonometer | Perkins tonometer . | AT550 NCT | Goldmann tonometer | AT550 NCT | Goldmann tonometry,Clinical performance | level of accuracy | measurements | IOP
few_shot_flan_t5,12576806,Animals,Endopyelotomy,Endopyelotomy,57 | patients with primary ureteropelvic junction obstruction,stenting | Internal stenting | stenting | 7/14Fr internal endopyelotomy stent placement,optimum duration of stenting | symptoms | ipsilateral glomerular filtration rate . | drainage pattern . | Stent related symptoms | urinary tract infections | duration | stent related complications .
few_shot_flan_t5,12586799,nasopharyngeal carcinoma,concurrent chemoradiotherapy,Overall and progression-free survival,advanced nasopharyngeal carcinoma : | patients with advanced NPC . | From December 1993 to April 1999 | 284 patients with 1992 American Joint Committee on Cancer stage III to IV ( M0 ) NPC | patients with advanced NPC,concurrent chemoradiotherapy | radiotherapy | concurrent chemoradiotherapy ( CCRT ) | radiotherapy ( RT ) | chemotherapy | cisplatin | fluorouracil | CCRT | RT-alone | CCRT | RT-only | CCRT | RT-only | CCRT | CCRT | RT,overall and progression-free survival . | Survival analysis | tumor relapse | 5-year overall survival rates | 5-year progression-free survival rates | toxicity | leukopenia | emesis | treatment-related deaths
few_shot_flan_t5,12595499,people at high cardiovascular risk,renal disease,not specified,people at high cardiovascular risk | people with diabetes | 7674 participants with albuminuria data at baseline and at follow-up | nondiabetic and in diabetic people .,ramipril 's | placebo | Ramipril | Ramipril,clinical proteinuria | progression of albuminuria | microalbuminuria | clinical proteinuria . | progression | albuminuria . | progression of albuminuria .
few_shot_flan_t5,12709693,outpatient colonoscopy,Conscious analgesia/sedation with remifentanil and propofol,Conscious analgesia/sedation with remifentanil and propofol,outpatient colonoscopy . | 100 adult patients,remifentanil | propofol | fentanyl | midazolam | propofol | remifentanil | propofol | midazolam | fentanyl | propofol | remifentanil | propofol | fentanyl | midazolam | propofol | remifentanil | propofol,Cardiorespiratory parameters | bispectral index | Numerical Pain Rating Scale ( NRS ) | recovery level | return of psychomotor efficiency | Aldrete scale | Modified Post Anesthesia Discharge Scoring ( MPADS ) system | pain intensity score | maximum MPADS score | mean arterial pressure and heart rate and signs of respiratory depression | analgesia | hemodynamic stability | respiratory depression | rapid recovery
few_shot_flan_t5,1286547,IDDM-type diabetes mellitus,nitrendipine,platelet thromboxane formation,borderline hypertensive patients with IDDM-type diabetes mellitus . Twenty-nine IDDM patients with borderline hypertension | diabetic patients with borderline hypertension .,dihydropyridine calcium channel blocker | nitrendipine | placebo | nitrendipine | Nitrendipine | placebo | nitrendipine | nitrendipine | nitrendipine,platelet thromboxane formation | Stimulated platelet thromboxane formation | plasma levels of platelet factor 4 and aggregation responses to collagen and ADP | thromboxane formation | Exercise induced change of thromboxane synthesis | PF4 plasma levels | Whole blood aggregation after collagen stimulation | aggregation | collagen dependent platelet activation
few_shot_flan_t5,12960652,infants,Gastric dysrhythmia,dysrhythmia in infants with gastrointestinal diseases,"infants | gastrointestinal diseases | infants with different gastrointestinal diseases | 21 patients | age 0-2 months | 40 healthy infants | age 0-2 months | patients suffered from partial or total intestinal obstruction , necrotizing enterocolitis or pyloric stenosis.All infants were fasting",epigastric impedance | Epigastric impedance | epigastric impedance | epigastric impedance,epigastric impedance | phasic activity | frequency phasic activity | phasic activity
few_shot_flan_t5,1459268,A prospective tr,short and ultrashort regimens of gonadotropin-releasing hormone agonist,not specified,in vitro fertilization ( IVF ) | Forty-eight patients having IVF for the first time | undergoing IVF,gonadotropin-releasing hormone agonist | gonadotropin-releasing hormone agonist ( GnRH-a ) | GnRH-a .,"usefulness | Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges . | ovulation induction , fertilization , and pregnancy rates | LH surge ."
few_shot_flan_t5,14679127,patients who had fai,topotecan versus paclitaxel,Long-term survival,advanced epithelial ovarian carcinoma . | patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen . | Patients with bidimensionally measurable disease | 226 | ovarian cancer .,topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | Topotecan | paclitaxel | topotecan,European Organisation for Research and Treatment of Cancer Quality of Life ( EORTC QOL ) -C30 questionnaire | pain | anorexia | diarrhoea | fatigue | nausea | vomiting | dyspnea | constipation | insomnia | progression | median survival | efficacy | survival | haematological toxicity . Non-haematological toxicity
few_shot_flan_t5,14739125,humans,torcetrapib,High-density lipoprotein levels,healthy young | Five groups of 8 subjects each,torcetrapib . | cholesteryl ester transfer protein ( CETP ) inhibitor torcetrapib | placebo | torcetrapib | Torcetrapib,plasma drug levels | Total plasma cholesterol | nonHDL-C | low-density lipoprotein cholesterol | Apolipoprotein A-I and E | apoB | Cholesteryl ester content | triglyceride
few_shot_flan_t5,14763035,patients on continuous ambulatory,selective angiotensin II receptor blocker,Regression of LVH,left ventricular hypertrophy | patients on continuous ambulatory peritoneal dialysis ( CAPD ) . | 24 CAPD patients with LVH [ left ventricular mass index ( LVMi ) > 110 g/m2 for women | LVMi > 137 g/m2 for men,Valsartan | selective angiotensin II receptor blocker ( ARB ) | ARB valsartan | placebo | ARB . | ARB | placebo | ARB,"blood pressure ( BP ) | aortic and large-artery compliance | arterial wave reflections [ pulse wave velocity ( PWV ) | augmentation index ( AI ) application tonometry ] | cardiac echocardiography . | body weight , BP ( mercury sphygmomanometer ) , serum creatinine , electrolytes , complete blood cell counts , urine volume , drainage volume , and weekly creatinine clearance . | Systolic and diastolic BP | LVMi | LVMi | PWV | AI | LVMi"
few_shot_flan_t5,15014018,melanoma,adjuvant high-dose interferon,adjuvant high-dose interferon for melanoma,Nearly 2000 patients with stage IIB and III melanoma | patients with high-risk resected melanoma,interferon | IFN-alpha 2b | IFN-alpha 2b ( HDI ) | Obs | HDI | Obs | HDI | Obs,relapse-free survival ( RFS ) | overall survival ( OS ) | RFS | OS | RFS | OS
few_shot_flan_t5,15133359,patients with biventricular pacing system implantation,alternative techniques to achieve coronary sinus cannulation during biventricular implantation procedures,CS cannulation,biventricular implantation | Thirty-four consecutive patients,catheters | guiding catheter alone | GCA | electrophysiology catheter advanced | electrophysiology catheter aided | EPA | GCA | GCA | EPA | EPA | GCA | EPA | GCA | EPA | GCA,"CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | contrast dye volume | procedural time , fluoroscopy time | contrast dye volume"
few_shot_flan_t5,15193668,children,descriptive and explanatory information,descriptive and explanatory information,peers | peers | child with autism . Children | 576 | M age = 10.06 | children 's,descriptive ( AUT-D ) | descriptive and explanatory information ( AUT-D + E ) . | descriptive and explanatory information,peers ' perceptions | peers ' perceptions | behavioral intentions | ( Adjective Checklist ) | ( Shared Activities Questionnaire ) | children 's attitudes | behavioral intentions
few_shot_flan_t5,15358868,adults with autism,visual discrimination ability,Superior visual search in adults with autism,adults with autism . | adults with autism . | adults with autism,,searching for targets . | visual search performance | visual discrimination ability . | unique item detection
few_shot_flan_t5,15848261,patients within 3 months of onset of stroke,specialised balance retraining program,gait improvement after conventional physical therapy,stroke patients ] | post-acute hemiparetic patients | Twenty-six patients within 3 months of onset of stroke,conventional physical therapy alone | specialised balance retraining program | physical therapy | therapy and retraining | conventional therapy | therapy | standing balance training by biofeedback ( BPM Monitor ) | conventional therapy .,gait improvement | Gait spatiotemporal parameters | clinical scores | time between stroke and the beginning of walking | Gait velocity | walking pattern | duration of the paretic limb single stance . | duration of the reception double stance on the paretic limb
few_shot_flan_t5,15854186,98 patients,Cophenylcaine or placebo nasal spray,Cophenylcaine spray vs. placebo in flexible nasendoscopy,flexible nasendoscopy : | 98 patients | flexible nasendoscopy . | flexible nasendoscopy .,Cophenylcaine | placebo | cophenylcaine | placebo | cophenylcaine | cophenylcaine,"pain , unpleasantness of taste and overall discomfort experienced . | pain and discomfort | pain or overall discomfort | sensation of bad taste | unpleasantness | pain | unpleasantness of taste ."
