Document_ID,Abstract,Participants,Interventions,Outcomes,Gold_Participants,Gold_Interventions,Gold_Outcomes
12709693,"Conscious analgesia/sedation with remifentanil and propofol versus total intravenous anesthesia with fentanyl , midazolam , and propofol for outpatient colonoscopy . BACKGROUND This study tested the hypothesis that , for colonoscopy , analgesia/sedation with remifentanil and propofol might be more effective compared with anesthesia by intravenous administration of midazolam , fentanyl , and propof ...",outpatient colonoscopy | 100 adult | 50,remifentanil | propofol | total intravenous anesthesia | fentanyl | midazolam | conscious analgesia/sedation ( Sedation | total intravenous anesthesia ( TIVA,Cardiorespiratory parameters | Numerical Pain Rating Scale ( NRS ) | recovery level | colonoscopy painless | average pain intensity score | mean arterial pressure | analgesia,outpatient colonoscopy . | 100 adult patients,remifentanil | propofol | fentanyl | midazolam | propofol | remifentanil | propofol | midazolam | fentanyl | propofol | remifentanil | propofol | fentanyl | midazolam | propofol | remifentanil | propofol,Cardiorespiratory parameters | bispectral index | Numerical Pain Rating Scale ( NRS ) | recovery level | return of psychomotor efficiency | Aldrete scale | Modified Post Anesthesia Discharge Scoring ( MPADS ) system | pain intensity score | maximum MPADS score | mean arterial pressure and heart rate and signs of respiratory depression | analgesia | hemodynamic stability | respiratory depression | rapid recovery
1286547,"Reduced platelet thromboxane formation after long-term administration of a dihydropyridine calcium channel blocker : a prospective , double-blind , placebo-controlled study with nitrendipine in borderline hypertensive patients with IDDM-type diabetes mellitus . Twenty-nine IDDM patients with borderline hypertension were randomly allocated to placebo or nitrendipine treatment . Nitrendipine was giv ...",borderline hypertensive | IDDM-type diabetes mellitus | Twenty-nine | borderline hypertension,dihydropyridine calcium channel blocker | placebo-controlled | nitrendipine | placebo,platelet thromboxane formation | Stimulated platelet thromboxane formation | plasma levels of platelet factor 4 | aggregation responses to collagen | thromboxane formation | Exercise | PF4 plasma levels | Whole blood aggregation,borderline hypertensive patients with IDDM-type diabetes mellitus . Twenty-nine IDDM patients with borderline hypertension | diabetic patients with borderline hypertension .,dihydropyridine calcium channel blocker | nitrendipine | placebo | nitrendipine | Nitrendipine | placebo | nitrendipine | nitrendipine | nitrendipine,platelet thromboxane formation | Stimulated platelet thromboxane formation | plasma levels of platelet factor 4 and aggregation responses to collagen and ADP | thromboxane formation | Exercise induced change of thromboxane synthesis | PF4 plasma levels | Whole blood aggregation after collagen stimulation | aggregation | collagen dependent platelet activation
12960652,"Gastric dysrhythmia in infants with gastrointestinal diseases measured by epigastric impedance . BACKGROUND Gastrointestinal symptoms have been reported in association with myoelectrical dysrhythmia , where different types of gastric electrical activity have been described . These types of gastric myoelectrical activity and dysrhythmia can be measured by electrogastrography using cutaneous electro ...",infants | gastrointestinal diseases | 21 | 40 healthy infants | partial or total intestinal obstruction,epigastric impedance | impedance gastrography,Gastric | pathologic | persistent phasic activity pattern | Short-term phasic activity | gastric phasic activity,"infants | gastrointestinal diseases | infants with different gastrointestinal diseases | 21 patients | age 0-2 months | 40 healthy infants | age 0-2 months | patients suffered from partial or total intestinal obstruction , necrotizing enterocolitis or pyloric stenosis.All infants were fasting",epigastric impedance | Epigastric impedance | epigastric impedance | epigastric impedance,epigastric impedance | phasic activity | frequency phasic activity | phasic activity
1459268,Prospective study of short and ultrashort regimens of gonadotropin-releasing hormone agonist in an in vitro fertilization program . OBJECTIVE To assess the usefulness of the ultrashort regimen of gonadotropin-releasing hormone agonist ( GnRH-a ) in ovulation induction in an in vitro fertilization ( IVF ) program . DESIGN A prospective randomized trial comparing short and ultrashort regimens of GnR ...,Forty-eight,gonadotropin-releasing hormone agonist | ultrashort regimen of gonadotropin-releasing hormone agonist ( GnRH-a ) | short | GnRH-a,"Response to ovarian stimulation | occurrence of spontaneous luteinizing hormone ( LH ) surges | ovulation induction , | fertilization , and | pregnancy rates | LH surge",in vitro fertilization ( IVF ) | Forty-eight patients having IVF for the first time | undergoing IVF,gonadotropin-releasing hormone agonist | gonadotropin-releasing hormone agonist ( GnRH-a ) | GnRH-a .,"usefulness | Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges . | ovulation induction , fertilization , and pregnancy rates | LH surge ."
14679127,"Long-term survival in a phase III , randomised study of topotecan versus paclitaxel in advanced epithelial ovarian carcinoma . BACKGROUND We have continued to monitor the survival of patients randomised in a previously reported multicentre phase III study of topotecan versus paclitaxel in patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen . PATIENTS AN ...",advanced epithelial ovarian carcinoma | advanced epithelial ovarian cancer | 226,topotecan | paclitaxel,pain | nausea and vomiting | dyspnea | EORTC QOL-30 questionnaire | median time to progression | median survival | efficacy | survival | Non-haematological toxicity | long-term survival,advanced epithelial ovarian carcinoma . | patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen . | Patients with bidimensionally measurable disease | 226 | ovarian cancer .,topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | Topotecan | paclitaxel | topotecan,European Organisation for Research and Treatment of Cancer Quality of Life ( EORTC QOL ) -C30 questionnaire | pain | anorexia | diarrhoea | fatigue | nausea | vomiting | dyspnea | constipation | insomnia | progression | median survival | efficacy | survival | haematological toxicity . Non-haematological toxicity
14739125,"Raising high-density lipoprotein in humans through inhibition of cholesteryl ester transfer protein : an initial multidose study of torcetrapib . OBJECTIVE The ability of the potent cholesteryl ester transfer protein ( CETP ) inhibitor torcetrapib ( CP-529,414 ) to raise high-density lipoprotein cholesterol ( HDL-C ) levels in healthy young subjects was tested in this initial phase 1 multidose stu ...",Five | 8,"torcetrapib | cholesteryl ester transfer | torcetrapib ( CP-529,414 | placebo",high-density | high-density lipoprotein cholesterol ( HDL-C ) levels | tolerated | plasma drug levels | CETP inhibition | HDL-C | Total plasma cholesterol | nonHDL-C | low-density lipoprotein cholesterol | Apolipoprotein A-I and E | apoB | Cholesteryl ester content | triglyceride,healthy young | Five groups of 8 subjects each,torcetrapib . | cholesteryl ester transfer protein ( CETP ) inhibitor torcetrapib | placebo | torcetrapib | Torcetrapib,plasma drug levels | Total plasma cholesterol | nonHDL-C | low-density lipoprotein cholesterol | Apolipoprotein A-I and E | apoB | Cholesteryl ester content | triglyceride
14763035,"A selective angiotensin receptor antagonist , Valsartan , produced regression of left ventricular hypertrophy associated with a reduction of arterial stiffness . We investigated whether a selective angiotensin II receptor blocker ( ARB ) would have a regressive effect on left ventricular hypertrophy ( LVH ) in patients on continuous ambulatory peritoneal dialysis ( CAPD ) . In a double-blind study ...",24 | LVH,selective angiotensin receptor antagonist | Valsartan | selective angiotensin II receptor blocker ( ARB ) | ARB valsartan | placebo | ARB,left | aortic and large-artery compliance | arterial wave reflections [ pulse wave velocity ( PWV ) and augmentation index ( AI ) application tonometry ] | cardiac echocardiography | body weight | BP ( mercury sphygmomanometer ) | serum creatinine | complete blood cell counts | urine volume | weekly creatinine clearance | Systolic and diastolic BP | LVMi | PWV,left ventricular hypertrophy | patients on continuous ambulatory peritoneal dialysis ( CAPD ) . | 24 CAPD patients with LVH [ left ventricular mass index ( LVMi ) > 110 g/m2 for women | LVMi > 137 g/m2 for men,Valsartan | selective angiotensin II receptor blocker ( ARB ) | ARB valsartan | placebo | ARB . | ARB | placebo | ARB,"blood pressure ( BP ) | aortic and large-artery compliance | arterial wave reflections [ pulse wave velocity ( PWV ) | augmentation index ( AI ) application tonometry ] | cardiac echocardiography . | body weight , BP ( mercury sphygmomanometer ) , serum creatinine , electrolytes , complete blood cell counts , urine volume , drainage volume , and weekly creatinine clearance . | Systolic and diastolic BP | LVMi | LVMi | PWV | AI | LVMi"
15014018,"A pooled analysis of eastern cooperative oncology group and intergroup trials of adjuvant high-dose interferon for melanoma . PURPOSE Nearly 2000 patients with stage IIB and III melanoma have participated in four multicenter , randomized trials , conducted by the Eastern Cooperative Oncology Group and the Intergroup , investigating adjuvant high-dose IFN-alpha 2b therapy . The objectives of this s ...",melanoma | 713,adjuvant high-dose interferon | adjuvant high-dose IFN-alpha 2b therapy | high-dose IFN-alpha 2b ( HDI ) | Obs | HDI,relapse-free survival ( RFS ) -but | overall survival ( OS ) | RFS | ulceration | recurrent disease at entry,Nearly 2000 patients with stage IIB and III melanoma | patients with high-risk resected melanoma,interferon | IFN-alpha 2b | IFN-alpha 2b ( HDI ) | Obs | HDI | Obs | HDI | Obs,relapse-free survival ( RFS ) | overall survival ( OS ) | RFS | OS | RFS | OS
15133359,A randomized comparison of alternative techniques to achieve coronary sinus cannulation during biventricular implantation procedures . INTRODUCTION Biventricular pacing system implantation is a time-consuming and challenging procedure . A critical step in biventricular pacemaker implantation is coronary sinus ( CS ) cannulation . CS cannulation can be achieved either using dedicated guiding cathet ...,biventricular implantation procedures | Thirty-four,EPA | GCA | CS cannulation strategy,CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | Total contrast dye volume to search and engage the CS ostium | procedural time | contrast dye volume,biventricular implantation | Thirty-four consecutive patients,catheters | guiding catheter alone | GCA | electrophysiology catheter advanced | electrophysiology catheter aided | EPA | GCA | GCA | EPA | EPA | GCA | EPA | GCA | EPA | GCA,"CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | contrast dye volume | procedural time , fluoroscopy time | contrast dye volume"
15193668,Combined descriptive and explanatory information improves peers ' perceptions of autism . Authors examined the combined effects of descriptive and explanatory information on peers ' perceptions and behavioral intentions toward an unfamiliar child with autism . Children ( N = 576 ; M age = 10.06 ) were randomly assigned to view two videotapes of a boy engaging in typical and autistic behaviors rece ...,autism | Children | 576,Combined | descriptive and explanatory information | descriptive ( AUT-D ) or | descriptive and explanatory information ( AUT-D + E ) | descriptive and,attitudes | behavioral intentions | third- and fourth-graders ' | academic intentions,peers | peers | child with autism . Children | 576 | M age = 10.06 | children 's,descriptive ( AUT-D ) | descriptive and explanatory information ( AUT-D + E ) . | descriptive and explanatory information,peers ' perceptions | peers ' perceptions | behavioral intentions | ( Adjective Checklist ) | ( Shared Activities Questionnaire ) | children 's attitudes | behavioral intentions
15358868,"Superior visual search in adults with autism . Recent studies have suggested that children with autism perform better than matched controls on visual search tasks and that this stems from a superior visual discrimination ability . This study assessed whether these findings generalize from children to adults with autism . Experiments 1 and 2 showed that , like children , adults with autism were sup ...",adults | autism | children,Not Found,searching for | visual search performance,adults with autism . | adults with autism . | adults with autism,,searching for targets . | visual search performance | visual discrimination ability . | unique item detection
15848261,"[ Postural biofeedback and locomotion reeducation in stroke patients ] . AIMS To compare , in post-acute hemiparetic patients , gait improvement after conventional physical therapy alone or with a specialised balance retraining program . PATIENTS Twenty-six patients within 3 months of onset of stroke were randomised to receive physical therapy ( control group ) or therapy and retraining ( experime ...",stroke | post-acute hemiparetic | Twenty-six | Thirteen,Postural biofeedback | locomotion reeducation | conventional physical therapy alone | specialised balance retraining program | physical therapy ( control | therapy and retraining ( experimental | early conventional therapy | therapy combined with standing balance training by biofeedback ( BPM Monitor ),gait | Gait spatiotemporal parameters | clinical scores | spasticity | time between stroke and the beginning of walking | Gait velocity | walking pattern | duration of the paretic limb single stance | duration of the reception double stance on the paretic limb,stroke patients ] | post-acute hemiparetic patients | Twenty-six patients within 3 months of onset of stroke,conventional physical therapy alone | specialised balance retraining program | physical therapy | therapy and retraining | conventional therapy | therapy | standing balance training by biofeedback ( BPM Monitor ) | conventional therapy .,gait improvement | Gait spatiotemporal parameters | clinical scores | time between stroke and the beginning of walking | Gait velocity | walking pattern | duration of the paretic limb single stance . | duration of the reception double stance on the paretic limb
15854186,"Cophenylcaine spray vs. placebo in flexible nasendoscopy : a prospective double-blind randomised controlled trial . Practices vary across the UK on the use of topical preparation prior to flexible fibreoptic nasendoscopy . In this double-blind study , we randomised 98 patients to receive cophenylcaine or placebo nasal spray before flexible nasendoscopy . A visual analogue scale ( 1-100 ) was used  ...",98,Cophenylcaine spray | placebo | cophenylcaine | placebo nasal spray,visual analogue scale | pain | unpleasantness of taste | overall discomfort | discomfort | pain or | sensation of bad taste | pain experienced,flexible nasendoscopy : | 98 patients | flexible nasendoscopy . | flexible nasendoscopy .,Cophenylcaine | placebo | cophenylcaine | placebo | cophenylcaine | cophenylcaine,"pain , unpleasantness of taste and overall discomfort experienced . | pain and discomfort | pain or overall discomfort | sensation of bad taste | unpleasantness | pain | unpleasantness of taste ."
15858959,"Effects of Saccharomyces boulardii in children with acute diarrhoea . AIM Certain probiotic agents , e.g . Lactobacillus GG , have shown efficacy in clinical trials for the treatment of acute childhood diarrhoea , but few studies have examined the effect of Saccharomyces boulardii . We evaluated the effect of S. boulardii in children with acute diarrhoea . METHODS Two hundred children were randomi ...",children | acute diarrhoea | Two hundred children,Saccharomyces boulardii | S. boulardii | placebo | S.,medians of the average stool frequency | duration of diarrhoea | watery diarrhoea | duration of hospital stay | persisting diarrhoea | duration of acute diarrhoea,children | acute diarrhoea | children with acute diarrhoea . | Two hundred children | acute diarrhoea in children,Saccharomyces boulardii | Saccharomyces boulardii . | S. boulardii | S. boulardii | S. boulardii | placebo | placebo | S. boulardii | placebo | S. boulardii | placebo | S. boulardii | S. boulardii | placebo | placebo | S. boulardii | S. boulardii | S. boulardii,average stool frequency | duration of diarrhoea | duration of hospital stay | duration of acute diarrhoea | duration of hospital stay
16167234,[ Effect of branch chain amino acid enriched formula on postoperative fatigue and nutritional status after digestive surgery ] . OBJECTIVE To evaluate the effect of branch chain amino acid ( BCAA ) enriched formula on nutritional status and postoperative fatigue for digestive surgery patients . METHODS Forty patients who underwent digestive surgery were randomly received parenteral nutrition with  ...,digestive surgery | Forty,branch chain amino acid enriched formula | branch chain amino acid ( BCAA ) enriched formula | parenteral nutrition with either | BCAA enriched | routine amino acid | BCAA enriched formula,"postoperative fatigue | nutritional status | Nitrogen balance | serum total protein , albumin , prealbumin , transferrin | postoperative fatigue score | cumulative postoperative fatigue scores | positive nitrogen balance | cumulative nitrogen balance | serum level of retinol binding protein",after digestive surgery ] | digestive surgery patients . | Forty patients who underwent digestive surgery | digestive surgery patients .,amino acid enriched formula | branch chain amino acid ( BCAA ) enriched formula | BCAA enriched | routine amino acid | BCAA | BCAA-enriched | BCAA enriched formula,"postoperative fatigue | nutritional status | nutritional status | postoperative fatigue | Nitrogen balance , serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score | cumulative postoperative fatigue scores | nitrogen balance | cumulative nitrogen balance | serum total protein , albumin , prealbumin , transferrin | serum level of retinol binding protein | postoperative fatigue score | nutritional status"
16295154,"Intervention pilot for parents of children with autistic spectrum disorder . Parents of children who receive the diagnosis of autistic spectrum disorder ( ASD ) experience a situational crisis related to receiving the diagnosis , which causes feelings of distress and urgency to access services for the affected child . This paper describes a randomized trial ( n = 31 ) that was conducted at a regio ...",parents | children | autistic spectrum disorder | autistic spectrum disorder ( ASD ) | 31 | ASD,"post-diagnosis nursing intervention | usual care plus 3 hours contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan | usual care post-diagnosis , which consisted of","parents | impact of event ( diagnosis ) | use of services | "" | impact of event "" and "" perceived stress """,parents of children | autistic spectrum disorder | Parents of children | diagnosis of autistic spectrum disorder ( ASD ) | parents of children with ASD,"Intervention | nursing intervention | post-diagnosis nursing intervention | usual care | contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan | usual care | consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan","parents ' reports of stress | impact of event ( diagnosis ) | use of services | "" impact of event "" | "" perceived stress """
16427787,"Sleep-anticipating effects of melatonin in the human brain . Melatonin , the hormone produced nocturnally by the pineal gland , is an endogenous regulator of the sleep-wake cycle . The effects of melatonin on brain activities and their relation to induction of sleepiness were studied in a randomized , double-blind , placebo controlled functional magnetic resonance imaging ( fMRI ) study . Melatoni ...",Not Found,melatonin | placebo,Sleep-anticipating | task-related activity | visual-search | fatigue | activation in the left parahippocampus | brain activity,human,melatonin | melatonin | Melatonin | placebo | melatonin | melatonin | melatonin | melatonin,effects | task-related activity | subjective measurements of fatigue . | activation in the left parahippocampus | brain activity | fatigue
16505427,"Phase III study of two different dosing schedules of erythropoietin in anemic patients with cancer . PURPOSE To compare maintenance epoetin alfa administered once every 3 weeks with continued weekly epoetin alfa for patients with cancer-associated anemia . PATIENTS AND METHODS Eligible patients were randomly assigned at enrollment to receive three weekly doses of epoetin alfa 40,000 U subcutaneous ...",anemic patients | cancer | cancer-associated anemia | Three hundred sixty-five | One hundred eighty-three | 182,"erythropoietin | epoetin alfa | epoetin alfa 40,000 | standard weekly epoetin alfa | epoetin",mean end-of-study Hb levels | Toxicities | overall survival | global quality of life ( QOL ) | global QOL | Hb increment,anemic patients with cancer . | patients with cancer-associated anemia . | Three hundred sixty-five patients,erythropoietin | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa | epoetin alfa .,requiring transfusions | hemoglobin ( Hb ) increment | drug dose | Hb | Hb | Toxicities | thromboembolism | overall survival | global quality of life ( QOL ) | global QOL | QOL | transfusion needs | QOL . | Hb increment
1669598,"Local immunotherapy by inhalation of a powder extract in asthma due to house dust mite Dermatophagoides pteronyssinus : a double-blind comparison with parenteral immunotherapy . To verify the efficacy and the tolerability of local immunotherapy ( LI ) by inhalation of a powder extract of house dust mite ( HDM ) , in comparison with parenteral immunotherapy ( PI ) by injection , 10 patients with as ...",asthma | house dust mite Dermatophagoides pteronyssinus | 10,Local immunotherapy | powder extract | parenteral immunotherapy | local immunotherapy ( LI ) | powder extract of house dust mite ( HDM ) | parenteral immunotherapy ( PI ) | LI | subcutaneous injections | placebo | PI | inhalation of lactose | disodium cromoglycate ( DSCG ),efficacy | symptoms score | peak expiratory flow ( PEF ) -derived parameters | bronchial response | bronchial responsiveness to methacholine | immunologic humoral and cellular parameters | local important adverse reactions | systemic side effects,10 patients with asthma due to HDM,immunotherapy | immunotherapy | local immunotherapy | powder extract of house dust mite ( HDM ) | parenteral immunotherapy ( PI ) | placebo | lactose | disodium cromoglycate ( DSCG ),efficacy | tolerability | symptoms score | peak expiratory flow ( PEF ) -derived parameters | bronchial response | bronchial responsiveness | immunologic humoral and cellular parameters in peripheral blood | local important adverse reactions | systemic side effects | systemic side effects .
17293018,"The safety of whey protein concentrate derived from the milk of cows immunized against Clostridium difficile . A whey protein concentrate prepared from the milk of cows that have been immunized against Clostridium difficile ( C. difficile ) and its toxins , toxin A and toxin B , is produced for use as a medical food for the dietary management of patients with C. difficile-associated diarrhea ( CDA ...",C. difficile-associated diarrhea ( CDAD ) | 77,whey protein concentrate | anti-C. difficile whey protein concentrate ( anti-CD WPC ) | anti-CD WPC,safety | adverse event monitoring | safe,patients with C. difficile-associated diarrhea ( CDAD ) | 77 patients with CDAD | patients with CDAD . | individuals with CDAD,whey protein concentrate | whey protein concentrate | immunized against Clostridium difficile ( C. | anti-C. difficile whey protein concentrate ( anti-CD WPC ) | anti-CD WPC | regular whey protein concentrate . | anti-CD WPC | anti-CD WPC | anti-CD WPC,safe | safe
17321989,"The prophylactic effect of itraconazole capsules and fluconazole capsules for systemic fungal infections in patients with acute myeloid leukemia and myelodysplastic syndromes : a Japanese multicenter randomized , controlled study . We performed a randomized , controlled study comparing the prophylactic effects of capsule forms of fluconazole ( n = 110 ) and itraconazole ( n = 108 ) in patients wit ...",acute myeloid leukemia and myelodysplastic syndromes | 110 | acute myeloid leukemia ( AML ) | myelodysplastic syndromes ( MDS ),itraconazole capsules | fluconazole capsules | fluconazole | itraconazole,Adverse events | numbers of cases with probable or possible infections | frequency of infection | tolerated,patients with acute myeloid leukemia and myelodysplastic syndromes : | Japanese | patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy . | patients with AML or MDS who received chemotherapy,itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole,Adverse events | probable or possible infections | frequency of infection
17616069,"[ Intravenous treatment of postpartum anemia with trivalent ferrum preparation ] . AIM OF THE STUDY To assess the effectivity and safeness of intravenous treatment of pospartal anemia with trivalent ferrum preparation . TYPE OF THE STUDY Prospective randomized study . SETTING Department of Obstetric and Gynecology 2nd Medical Faculty Charles University and Teaching Hospital Motol , Prague , and De ...",postpartum anemia | 50 women | postpartal anemia,trivalent ferrum preparation | sacharose ferric oxide ( Venofer ) | Venofer,serum values of soluble transferrin receptors and ferritin | adverse events,postpartum | Prague | Prague | 50 women | clinical and lab signs of postpartal anemia,trivalent ferrum preparation ] | trivalent ferrum preparation . | sacharose ferric oxide ( Venofer ) | Venofer | trivalent saccharose ferric oxide,effectivity | safeness | values of red blood count | serum values of soluble transferrin receptors and ferritin | iron cell saturation | body iron reserves | adverse events | effective | serious adverse event
